Complexity,Loss,Equation
1,1.7868338e-6,"-0.0063073407"
3,1.7849248e-6,"t + -0.006312674"
4,1.5259703e-6,"sqrt(t) + -0.008591883"
6,1.4745971e-6,"sqrt(t * 2.7900155) + -0.010123262"
7,3.7885397e-7,"(w2 * (w2 * 0.0013876124)) + -0.0077752066"
8,2.1396018e-7,"sqrt(w2 * (t * w2)) + -0.008381322"
9,7.464291e-8,"(w2 * ((w2 * 0.0013682572) + -0.0005375931)) + -0.0077898875"
14,6.5697705e-8,"(((-0.1516807 + w2) * ((0.58785665 * w2) * sqrt(t))) + t) + -0.0077832276"
16,6.5661474e-8,"(t + ((w2 + -0.1516807) * (((t + 0.58785665) * w2) * sqrt(t)))) + -0.0077772294"
18,6.5661425e-8,"(t + ((w2 + -0.1516807) * (sqrt(t) * ((w2 * (t + 0.58785665)) - t)))) + -0.0077772294"
20,6.1333274e-8,"sqrt(t + (((w2 * -1.2912047) * ((w2 + 0.10062007) * w2)) * ((-0.62101036 * t) * w2))) + -0.009710566"
22,5.9152445e-8,"(sqrt(t + (w2 * (((w2 * -2.2276964) * w2) * ((w2 * -0.60466033) * t)))) + (-0.012746145 - t)) / 1.3981785"
